personName,organisationName,placeName,countrName,organisationName,yearFounded
Sergey Slizovskiy,Uppsala University,,,University of Manchester,1477-01-01T00:00:00Z
Magnus Hedström,Uppsala University,,,Clay Technology (Sweden),1477-01-01T00:00:00Z
Lars Åge Johansson,Uppsala University,,,,1477-01-01T00:00:00Z
Erik Sjöqvist,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Dan Bylund,Uppsala University,,,,1477-01-01T00:00:00Z
Sylvia I. Karlsson-Vinkhuyzen,Uppsala University,,,Wageningen University & Research,1477-01-01T00:00:00Z
Erik Nylander,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Frank Hailer,Uppsala University,,,Cardiff University,1477-01-01T00:00:00Z
Staffan Linnaeus,Uppsala University,,,Royal Institute of Technology,1477-01-01T00:00:00Z
Michael T Brett,Uppsala University,,,University of Washington,1477-01-01T00:00:00Z
Delila Gasi,Uppsala University,,,Georgia Institute of Technology,1477-01-01T00:00:00Z
Carl Mårten Lindqvist,Uppsala University,,,,1477-01-01T00:00:00Z
Elisabeth Sauer-Eriksson,Uppsala University,,Sweden,Umeå University,1477-01-01T00:00:00Z
Andreas Lindblad,Uppsala University,,Sweden,Uppsala University,1477-01-01T00:00:00Z
Gabriella Edfeldt,Uppsala University,,,Karolinska Institute,1477-01-01T00:00:00Z
Allison Perrigo,Uppsala University,,,University of Gothenburg,1477-01-01T00:00:00Z
Andreas Lindblad,Uppsala University,,Sweden,SOLEIL,1477-01-01T00:00:00Z
Peter Bengtson,Uppsala University,,,Heidelberg University,1477-01-01T00:00:00Z
Diana P Iyaloo,Uppsala University,,,Ministry of Health and Quality of Life,1477-01-01T00:00:00Z
Matts Björck,Uppsala University,,Sweden,,1477-01-01T00:00:00Z
David F Plaza,Uppsala University,,,Harvard University,1477-01-01T00:00:00Z
Simon Davidsson,Uppsala University,,,Stanford University,1477-01-01T00:00:00Z
Lars Johan Danbolt,Uppsala University,,,MF Norwegian School of Theology,1477-01-01T00:00:00Z
Claes Norring,Uppsala University,,,Karolinska Institute,1477-01-01T00:00:00Z
Ingmar Sandberg,Uppsala University,,,Ruhr University Bochum,1477-01-01T00:00:00Z
David F Plaza,Uppsala University,,,Karolinska Institute,1477-01-01T00:00:00Z
Ingmar Sandberg,Uppsala University,,,National Observatory of Athens,1477-01-01T00:00:00Z
Bahar Baser,Uppsala University,,,Coventry University,1477-01-01T00:00:00Z
Jonas Nycander,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Bahar Baser,Uppsala University,,,University of Warwick,1477-01-01T00:00:00Z
Ingmar Sandberg,Uppsala University,,,National Technical University of Athens,1477-01-01T00:00:00Z
Sara Roslin,Uppsala University,,,Uppsala University,1477-01-01T00:00:00Z
Malin Elfstrand,Uppsala University,,,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Lauri Toom,Uppsala University,,,University of Tartu,1477-01-01T00:00:00Z
Sergey Slizovskiy,Uppsala University,,,Petersburg Nuclear Physics Institute,1477-01-01T00:00:00Z
Benedikt J Daurer,Uppsala University,,,Lawrence Berkeley National Laboratory,1477-01-01T00:00:00Z
James N Alexander,Uppsala University,,,Wyeth,1477-01-01T00:00:00Z
Sergey Slizovskiy,Uppsala University,,,Loughborough University,1477-01-01T00:00:00Z
Johan Isaksson,Uppsala University,,,University of Tromsø – The Arctic University of Norway,1477-01-01T00:00:00Z
Benedikt J Daurer,Uppsala University,,,National University of Singapore,1477-01-01T00:00:00Z
Delila Gasi,Uppsala University,,,Institute of Cancer Research,1477-01-01T00:00:00Z
Henrik Aspeborg,Uppsala University,,,Royal Institute of Technology,1477-01-01T00:00:00Z
Frida J Wende,Uppsala University,,,Swedish University of Agricultural Sciences,1477-01-01T00:00:00Z
Claes Norring,Uppsala University,,,Stockholm Health Care Services,1477-01-01T00:00:00Z
David F Plaza,Uppsala University,,,Karolinska University Hospital,1477-01-01T00:00:00Z
Torbjörn Åkerfeldt,Uppsala University,,Sweden,Uppsala University Hospital,1477-01-01T00:00:00Z
Doroteya Raykova,Uppsala University,,,,1477-01-01T00:00:00Z
Leif Carlsson,University of Gothenburg,,,AstraZeneca,1954-07-01T00:00:00Z
Maria Ågren,Luleå University of Technology,Q10512310,Sweden,,1971-07-01T00:00:00Z
Einar Gjerstad,Uppsala University,Örebro,Sweden,Lund University,1477-01-01T00:00:00Z
Asa Premberg,University of Gothenburg,,,,1954-07-01T00:00:00Z
Jeroen Brijs,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Jeroen Brijs,University of Gothenburg,,,University of Waikato,1954-07-01T00:00:00Z
Göran Bondjers,University of Gothenburg,,Sweden,University of Gothenburg,1954-07-01T00:00:00Z
Anders Lindahl,University of Gothenburg,,,,1954-07-01T00:00:00Z
Ulf Sundin,University of Gothenburg,,,Akershus University Hospital,1954-07-01T00:00:00Z
Ulf Sundin,University of Gothenburg,,,Västra Götaland Regional Council,1954-07-01T00:00:00Z
Jeroen Brijs,University of Gothenburg,,,Swedish University of Agricultural Sciences,1954-07-01T00:00:00Z
Saik Ann Ooi,University of Gothenburg,,,,1954-07-01T00:00:00Z
Jonas Varkey,University of Gothenburg,,,,1954-07-01T00:00:00Z
Jörgen Bergström,University of Gothenburg,,,,1954-07-01T00:00:00Z
Pia Nykänen,University of Gothenburg,,,,1954-07-01T00:00:00Z
Karl G Rosén,University of Gothenburg,,,University of Borås,1954-07-01T00:00:00Z
Göran Wennergren,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Merle Jacob,University of Gothenburg,,Sweden,Lund University,1954-07-01T00:00:00Z
Gunnar Kohlin,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Qingwei Gao,Luleå University of Technology,,,,1971-07-01T00:00:00Z
Charlotta Saldert,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Annika Dahlgren Sandberg,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Johan Ottosson,University of Gothenburg,,,Örebro University Hospital,1954-07-01T00:00:00Z
Lena Höglund-Isaksson,University of Gothenburg,,,International Institute for Applied Systems Analysis,1954-07-01T00:00:00Z
Calum Edward Ninnes,University of Gothenburg,,,,1954-07-01T00:00:00Z
Lubomira Tosheva,Luleå University of Technology,,,Manchester Metropolitan University,1971-07-01T00:00:00Z
Eric Hamrin Senorski,University of Gothenburg,,,,1954-07-01T00:00:00Z
Lena Nordeman,University of Gothenburg,,,Västra Götaland Regional Council,1954-07-01T00:00:00Z
Ulf Sundin,University of Gothenburg,,,Diakonhjemmet Hospital,1954-07-01T00:00:00Z
Stina Ramne,University of Gothenburg,,,Lund University,1954-07-01T00:00:00Z
Anders Josefsson,University of Gothenburg,,,Johns Hopkins School of Medicine,1954-07-01T00:00:00Z
Linda C Johansson,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Monica Bertilsson,University of Gothenburg,,,Sahlgrenska Academy,1954-07-01T00:00:00Z
Nhu T N Phan,University of Gothenburg,,,,1954-07-01T00:00:00Z
Linda C Johansson,University of Gothenburg,,,Scripps Research,1954-07-01T00:00:00Z
Taru Lehtinen,University of Gothenburg,,,,1954-07-01T00:00:00Z
Kristjan Karason,University of Gothenburg,,,,1954-07-01T00:00:00Z
"Abdul-Karim Abbas,University of Gothenburg,,,""University of California, Irvine"",1954-07-01T00:00:00Z"
Mikael Landén,University of Gothenburg,,Sweden,Karolinska Institute,1954-07-01T00:00:00Z
Ann-Charlotte Kassberg,Luleå University of Technology,,,Luleå University of Technology,1971-07-01T00:00:00Z
Linda Fredlund,University of Gothenburg,,,AstraZeneca,1954-07-01T00:00:00Z
Tom A. Bäck,University of Gothenburg,,Sweden,University of Gothenburg,1954-07-01T00:00:00Z
Abdul-Karim Abbas,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Hans Rosling,Uppsala University,Uppsala Cathedral Assembly,Sweden,Karolinska Institute,1477-01-01T00:00:00Z
Anders Josefsson,University of Gothenburg,,,Sahlgrenska University Hospital,1954-07-01T00:00:00Z
Merle Jacob,University of Gothenburg,,Sweden,University of Oslo,1954-07-01T00:00:00Z
Fredrik Olsen,University of Gothenburg,,,,1954-07-01T00:00:00Z
Maria Frånlund,University of Gothenburg,,,Sahlgrenska University Hospital,1954-07-01T00:00:00Z
Andreas Almqvist,Luleå University of Technology,,Sweden,Luleå University of Technology,1971-07-01T00:00:00Z
Johan Hogmalm,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Hardis Rabe,University of Gothenburg,,,University of Gothenburg,1954-07-01T00:00:00Z
Peter Jagers,University of Gothenburg,,,Chalmers University of Technology,1954-07-01T00:00:00Z
